Unnamed: 0,Product,Review_Summary,Rating
131414,Tanunni Mobile Holder Mobile Holder,Value for money good product impress the quality good packaging helpful this product thank you for Flipkart delivery,5
131415,Tanunni Mobile Holder Mobile Holder,"Material is strong enough to hold heavy smart phones doesn't get hot while charging, but has one issue I. e. the phone rest on the edge of the product via usb attached to the phone that might can effect the usb Or the connector of phone as the edge is not having a cut on the sides so that the phone doesn't hang in air from usb attached side",3
131416,Tanunni Mobile Holder Mobile Holder,Very nice and useful ???,5
131417,Tanunni Mobile Holder Mobile Holder,Good,5
131418,Tanunni Mobile Holder Mobile Holder,Nice ???,5
131419,Tanunni Mobile Holder Mobile Holder,Good product Love it,5
131420,Tanunni Mobile Holder Mobile Holder,It is a nice and useful product. Built quality is also good.,5
131421,Tanunni Mobile Holder Mobile Holder,Good quality and very useful material,5
131422,Tanunni Mobile Holder Mobile Holder,Good quality product.,5
131423,Tanunni Mobile Holder Mobile Holder,Good product,4
131424,Tanunni Mobile Holder Mobile Holder,Good quality,5
131425,Tanunni Mobile Holder Mobile Holder,Best,5
131426,Tanunni Mobile Holder Mobile Holder,Very reasonable price and useful product,5
131427,Tanunni Mobile Holder Mobile Holder,Nice product it is amazed.... Thank you flipkart ????????????,5
131428,Tanunni Mobile Holder Mobile Holder,Wow so good thanku flipkart,5
131429,Tanunni Mobile Holder Mobile Holder,Super,5
131430,Tanunni Mobile Holder Mobile Holder,Excellent. Go Go Go for it.,5
131431,Tanunni Mobile Holder Mobile Holder,Super product. So strong,5
131432,Tanunni Mobile Holder Mobile Holder,Very good product,4
131433,Tanunni Mobile Holder Mobile Holder,Very good product,5
131434,Tanunni Mobile Holder Mobile Holder,Good product.. mobile holding & it working properly in changing mood... According to price too good product ???,5
131435,Tanunni Mobile Holder Mobile Holder,Good product....Thanks flipkart ???,5
131436,Tanunni Mobile Holder Mobile Holder,Very good Holder useful,4
131437,Tanunni Mobile Holder Mobile Holder,Useful productNice quality No issues,5
131438,Tanunni Mobile Holder Mobile Holder,nice,5
131439,Tanunni Mobile Holder Mobile Holder,Useful ???,4
131440,Tanunni Mobile Holder Mobile Holder,Good product worth buying....good design ..... Truly Osm,5
131441,Tanunni Mobile Holder Mobile Holder,Costly as per quality,1
131442,Tanunni Mobile Holder Mobile Holder,Nice,4
131443,Tanunni Mobile Holder Mobile Holder,This product is not good but not bad,2
131444,Tanunni Mobile Holder Mobile Holder,Very nice,5
131445,Tanunni Mobile Holder Mobile Holder,Nice item received as described. Needful item for mobile charging.,5
131446,Tanunni Mobile Holder Mobile Holder,Super,5
131447,Tanunni Mobile Holder Mobile Holder,Nice,5
131448,Tanunni Mobile Holder Mobile Holder,Nice,5
131449,Tanunni Mobile Holder Mobile Holder,Good,5
131450,Tanunni Mobile Holder Mobile Holder,Very nice,5
131451,Tanunni Mobile Holder Mobile Holder,Good productBut price high,4
131452,Tanunni Mobile Holder Mobile Holder,Wonderful product,5
131453,Tanunni Mobile Holder Mobile Holder,Ok,3
131454,Tanunni Mobile Holder Mobile Holder,Very useful,5
131455,Tanunni Mobile Holder Mobile Holder,Nice,4
131456,Tanunni Mobile Holder Mobile Holder,Love it,5
131457,Tanunni Mobile Holder Mobile Holder,"Power switch not working on one side pain, not working",1
131458,Tanunni Mobile Holder Mobile Holder,Very bad ????,1
131459,Tanunni Mobile Holder Mobile Holder,Superb,5
131460,Tanunni Mobile Holder Mobile Holder,Very very useful gadget,5
131461,Tanunni Mobile Holder Mobile Holder,"Nice Product , helpfull",5
131462,Tanunni Mobile Holder Mobile Holder,Nice product,5
131463,Tanunni Mobile Holder Mobile Holder,Super,5
131464,Tanunni Mobile Holder Mobile Holder,Good,3
131465,Tanunni Mobile Holder Mobile Holder,Nice,5
131466,Tanunni Mobile Holder Mobile Holder,Not stable and the base is not flat hence the phone is not stable. Also due to the weight of the phone the base leans forward and feels the phone will fall.,2
