Unnamed: 0,Product,Review_Summary,Rating
37495,Tata Sky Tatasky Old model DTH Compatible Setup box Remote- Black Tata Sky Remote Controller?ÿ?ÿ(Black),Nice product. Looks and works exactly like the original one. And comes with a pair of battery... Let's see how long it lasts!,5
37496,Tata Sky Tatasky Old model DTH Compatible Setup box Remote- Black Tata Sky Remote Controller?ÿ?ÿ(Black),good product,4
37497,Tata Sky Tatasky Old model DTH Compatible Setup box Remote- Black Tata Sky Remote Controller?ÿ?ÿ(Black),Nice qulity but sum part of damage,4
37498,Tata Sky Tatasky Old model DTH Compatible Setup box Remote- Black Tata Sky Remote Controller?ÿ?ÿ(Black),Super quality nice price thank you Flipkart,4
37499,Tata Sky Tatasky Old model DTH Compatible Setup box Remote- Black Tata Sky Remote Controller?ÿ?ÿ(Black),Awsm,5
37500,Tata Sky Tatasky Old model DTH Compatible Setup box Remote- Black Tata Sky Remote Controller?ÿ?ÿ(Black),Hated it,1
37501,Tata Sky Tatasky Old model DTH Compatible Setup box Remote- Black Tata Sky Remote Controller?ÿ?ÿ(Black),Not working ????,1
37502,Tata Sky Tatasky Old model DTH Compatible Setup box Remote- Black Tata Sky Remote Controller?ÿ?ÿ(Black),Working well like the original and looks similar to the original tata sky remote except that it is slightly  lighter in wt. But overall a good buy. SKG,4
37503,Tata Sky Tatasky Old model DTH Compatible Setup box Remote- Black Tata Sky Remote Controller?ÿ?ÿ(Black),Nice,4
37504,Tata Sky Tatasky Old model DTH Compatible Setup box Remote- Black Tata Sky Remote Controller?ÿ?ÿ(Black),Good,5
37505,Tata Sky Tatasky Old model DTH Compatible Setup box Remote- Black Tata Sky Remote Controller?ÿ?ÿ(Black),Good,5
37506,Tata Sky Tatasky Old model DTH Compatible Setup box Remote- Black Tata Sky Remote Controller?ÿ?ÿ(Black),Works Perfectly.,5
37507,Tata Sky Tatasky Old model DTH Compatible Setup box Remote- Black Tata Sky Remote Controller?ÿ?ÿ(Black),Good quality,4
37508,Tata Sky Tatasky Old model DTH Compatible Setup box Remote- Black Tata Sky Remote Controller?ÿ?ÿ(Black),Very nice,5
37509,Tata Sky Tatasky Old model DTH Compatible Setup box Remote- Black Tata Sky Remote Controller?ÿ?ÿ(Black),Good products,5
37510,Tata Sky Tatasky Old model DTH Compatible Setup box Remote- Black Tata Sky Remote Controller?ÿ?ÿ(Black),Nice remote,5
37511,Tata Sky Tatasky Old model DTH Compatible Setup box Remote- Black Tata Sky Remote Controller?ÿ?ÿ(Black),Purpose solved. Foolish to expect super quality from this price tag.,5
37512,Tata Sky Tatasky Old model DTH Compatible Setup box Remote- Black Tata Sky Remote Controller?ÿ?ÿ(Black),Nice product,4
37513,Tata Sky Tatasky Old model DTH Compatible Setup box Remote- Black Tata Sky Remote Controller?ÿ?ÿ(Black),Original and good product ????,3
37514,Tata Sky Tatasky Old model DTH Compatible Setup box Remote- Black Tata Sky Remote Controller?ÿ?ÿ(Black),Orignal quality.,5
37515,Tata Sky Tatasky Old model DTH Compatible Setup box Remote- Black Tata Sky Remote Controller?ÿ?ÿ(Black),"Worst quality. Don't buy this product, waste of money.",1
37516,Tata Sky Tatasky Old model DTH Compatible Setup box Remote- Black Tata Sky Remote Controller?ÿ?ÿ(Black),Average,3
37517,Tata Sky Tatasky Old model DTH Compatible Setup box Remote- Black Tata Sky Remote Controller?ÿ?ÿ(Black),Very good,5
37518,Tata Sky Tatasky Old model DTH Compatible Setup box Remote- Black Tata Sky Remote Controller?ÿ?ÿ(Black),Worst than worst product. Very less quality. And they didn't send the batteries too. Don't buy it.,1
37519,Tata Sky Tatasky Old model DTH Compatible Setup box Remote- Black Tata Sky Remote Controller?ÿ?ÿ(Black),Everything is good but universal button doesn't work,4
37520,Tata Sky Tatasky Old model DTH Compatible Setup box Remote- Black Tata Sky Remote Controller?ÿ?ÿ(Black),Quite good,3
37521,Tata Sky Tatasky Old model DTH Compatible Setup box Remote- Black Tata Sky Remote Controller?ÿ?ÿ(Black),Best product,5
37522,Tata Sky Tatasky Old model DTH Compatible Setup box Remote- Black Tata Sky Remote Controller?ÿ?ÿ(Black),"Fantastic, Just as the original, working fine with the existing system. No settings required.",5
37523,Tata Sky Tatasky Old model DTH Compatible Setup box Remote- Black Tata Sky Remote Controller?ÿ?ÿ(Black),Look like a original and its work properly just a awesome product,5
37524,Tata Sky Tatasky Old model DTH Compatible Setup box Remote- Black Tata Sky Remote Controller?ÿ?ÿ(Black),Good working remote,4
37525,Tata Sky Tatasky Old model DTH Compatible Setup box Remote- Black Tata Sky Remote Controller?ÿ?ÿ(Black),I didint get the product,1
37526,Tata Sky Tatasky Old model DTH Compatible Setup box Remote- Black Tata Sky Remote Controller?ÿ?ÿ(Black),Good,4
37527,Tata Sky Tatasky Old model DTH Compatible Setup box Remote- Black Tata Sky Remote Controller?ÿ?ÿ(Black),Good,4
37528,Tata Sky Tatasky Old model DTH Compatible Setup box Remote- Black Tata Sky Remote Controller?ÿ?ÿ(Black),Good one,5
37529,Tata Sky Tatasky Old model DTH Compatible Setup box Remote- Black Tata Sky Remote Controller?ÿ?ÿ(Black),Excellent product.,5
37530,Tata Sky Tatasky Old model DTH Compatible Setup box Remote- Black Tata Sky Remote Controller?ÿ?ÿ(Black),very good product ????,5
37531,Tata Sky Tatasky Old model DTH Compatible Setup box Remote- Black Tata Sky Remote Controller?ÿ?ÿ(Black),Not good not bad,1
37532,Tata Sky Tatasky Old model DTH Compatible Setup box Remote- Black Tata Sky Remote Controller?ÿ?ÿ(Black),Good,5
