Unnamed: 0,Product,Review_Summary,Rating
37938,"Tata Sky (Works with all TV) Tatasky set top box, Tatasky SD set top box, Tatasky HD set top box, Tatasky DTH Setup box Remote Controller?ÿ?ÿ(Black)","Worst quality,  Froad,  don't book this product.",1
37939,"Tata Sky (Works with all TV) Tatasky set top box, Tatasky SD set top box, Tatasky HD set top box, Tatasky DTH Setup box Remote Controller?ÿ?ÿ(Black)",good....working well....but quality of plastic can be improved,5
37940,"Tata Sky (Works with all TV) Tatasky set top box, Tatasky SD set top box, Tatasky HD set top box, Tatasky DTH Setup box Remote Controller?ÿ?ÿ(Black)",Good product,5
37941,"Tata Sky (Works with all TV) Tatasky set top box, Tatasky SD set top box, Tatasky HD set top box, Tatasky DTH Setup box Remote Controller?ÿ?ÿ(Black)",Good working,5
37942,"Tata Sky (Works with all TV) Tatasky set top box, Tatasky SD set top box, Tatasky HD set top box, Tatasky DTH Setup box Remote Controller?ÿ?ÿ(Black)",Not much of quality product,3
37943,"Tata Sky (Works with all TV) Tatasky set top box, Tatasky SD set top box, Tatasky HD set top box, Tatasky DTH Setup box Remote Controller?ÿ?ÿ(Black)",Working well,5
37944,"Tata Sky (Works with all TV) Tatasky set top box, Tatasky SD set top box, Tatasky HD set top box, Tatasky DTH Setup box Remote Controller?ÿ?ÿ(Black)",Nice,5
37945,"Tata Sky (Works with all TV) Tatasky set top box, Tatasky SD set top box, Tatasky HD set top box, Tatasky DTH Setup box Remote Controller?ÿ?ÿ(Black)",It is best,5
37946,"Tata Sky (Works with all TV) Tatasky set top box, Tatasky SD set top box, Tatasky HD set top box, Tatasky DTH Setup box Remote Controller?ÿ?ÿ(Black)",Buttons are not working..,1
37947,"Tata Sky (Works with all TV) Tatasky set top box, Tatasky SD set top box, Tatasky HD set top box, Tatasky DTH Setup box Remote Controller?ÿ?ÿ(Black)",NO COMMENTS,4
