Unnamed: 0,Product,Review_Summary,Rating
186750,"ULTRA Mini Wet Grinder?ÿ?ÿ(Purple, White)","Although the first one which I got delivered had some issues and made crazy sounds , the replaced grinder is working like a charm . It's wonderful . But those who want to add milllets to this won't be happy as this won't be grinding them to a fine batter .",5
186751,"ULTRA Mini Wet Grinder?ÿ?ÿ(Purple, White)","Lots of wastage is happening because of triangle shape stone. It's just unfortunate that with so much technological advancements, we still are not able to make our food processor machines to be efficient. We had to be messy while taking the batter out with hands. Do some innovation guys.",4
186752,"ULTRA Mini Wet Grinder?ÿ?ÿ(Purple, White)","Awesome product , thankuu flipkart ???",5
186753,"ULTRA Mini Wet Grinder?ÿ?ÿ(Purple, White)",Good,5
186754,"ULTRA Mini Wet Grinder?ÿ?ÿ(Purple, White)",Product is excellent,5
186755,"ULTRA Mini Wet Grinder?ÿ?ÿ(Purple, White)",The product is functioning properly..Very much satisfied,5
186756,"ULTRA Mini Wet Grinder?ÿ?ÿ(Purple, White)",Good and working well,4
186757,"ULTRA Mini Wet Grinder?ÿ?ÿ(Purple, White)",Best product,5
186758,"ULTRA Mini Wet Grinder?ÿ?ÿ(Purple, White)",Very compact and good quality for the price,5
186759,"ULTRA Mini Wet Grinder?ÿ?ÿ(Purple, White)",I ts nice,4
186760,"ULTRA Mini Wet Grinder?ÿ?ÿ(Purple, White)",Super product,4
186761,"ULTRA Mini Wet Grinder?ÿ?ÿ(Purple, White)","The machine does it's job well. The conical stones are well made, concentric, and runs smoothly, with minimal load on the motor. Grinds rapidly.",5
186762,"ULTRA Mini Wet Grinder?ÿ?ÿ(Purple, White)","Very heeating on motor, it takes too much time",1
186763,"ULTRA Mini Wet Grinder?ÿ?ÿ(Purple, White)",Its take too time,2
186764,"ULTRA Mini Wet Grinder?ÿ?ÿ(Purple, White)",I brought a 1.25 liter one and good for 3 people. Works as expected so far ...let see how it performs in long term.,4
186765,"ULTRA Mini Wet Grinder?ÿ?ÿ(Purple, White)",Nice product,4
186766,"ULTRA Mini Wet Grinder?ÿ?ÿ(Purple, White)",Nice product,5
186767,"ULTRA Mini Wet Grinder?ÿ?ÿ(Purple, White)",Super,5
186768,"ULTRA Mini Wet Grinder?ÿ?ÿ(Purple, White)",The motor gets heated up in ten minutes. The batter becomes too hot. Too narrow to add ingredients for grinding.,2
186769,"ULTRA Mini Wet Grinder?ÿ?ÿ(Purple, White)",Very useful and time Saving product.,5
186770,"ULTRA Mini Wet Grinder?ÿ?ÿ(Purple, White)",Good,4
186771,"ULTRA Mini Wet Grinder?ÿ?ÿ(Purple, White)",Nice quality. Compact wet Grinder.,5
186772,"ULTRA Mini Wet Grinder?ÿ?ÿ(Purple, White)","As I trust this brand , quite satisfied.. gotta use and test further",5
186773,"ULTRA Mini Wet Grinder?ÿ?ÿ(Purple, White)",Very compact and efficient,5
186774,"ULTRA Mini Wet Grinder?ÿ?ÿ(Purple, White)",Good,4
186775,"ULTRA Mini Wet Grinder?ÿ?ÿ(Purple, White)",It is standard product of Ultra. ???,5
186776,"ULTRA Mini Wet Grinder?ÿ?ÿ(Purple, White)",X lent,5
