Unnamed: 0,Product,Review_Summary,Rating
15448,UPC Upgraded Hands-Free Squeeze Microfiber Flat Spin Mop System 360Â° Flexible Head Mop Set,"A must buy product! When compared to round mop, this is excellent and makes the job easy. The idea is brilliant and microfiber pads are very easy to clean and dries faster. One of the best choice to go for flat mop. Easily fits under fridge, sofa, computer table and cleans the floor absolutely neatly. Thank you UPC and Flipkart for bringing us this product!",5
15449,UPC Upgraded Hands-Free Squeeze Microfiber Flat Spin Mop System 360Â° Flexible Head Mop Set,"A brilliant product by U.P. , very effective outcomes as well as good material utilized in mop, in addition to this I'm fully satisfied with the product,thanks ð for that",5
15450,UPC Upgraded Hands-Free Squeeze Microfiber Flat Spin Mop System 360Â° Flexible Head Mop Set,Very nice and useful product and all your cleaning  requirements. I am writng this review after using it and I can use it on floor  as well as on walls also. And believe it cleans very nicely and effortlessly. Loved it.,5
15451,UPC Upgraded Hands-Free Squeeze Microfiber Flat Spin Mop System 360Â° Flexible Head Mop Set,Very nice product. Clean the floor nicely.,5
15452,UPC Upgraded Hands-Free Squeeze Microfiber Flat Spin Mop System 360Â° Flexible Head Mop Set,Not convenient,1
15453,UPC Upgraded Hands-Free Squeeze Microfiber Flat Spin Mop System 360Â° Flexible Head Mop Set,This an amazing mop with every essential thing in it. You don't have to touch water a single time and ur home it clean.Highly recommended. Excellent product by upc.Thankyou UPC,5
15454,UPC Upgraded Hands-Free Squeeze Microfiber Flat Spin Mop System 360Â° Flexible Head Mop Set,Most reliable product in dis reasonable price,5
15455,UPC Upgraded Hands-Free Squeeze Microfiber Flat Spin Mop System 360Â° Flexible Head Mop Set,Donât buy worst after few times bucket is leaking,1
15456,UPC Upgraded Hands-Free Squeeze Microfiber Flat Spin Mop System 360Â° Flexible Head Mop Set,Very nice product has a good span of cleaning. Liked the product,5
15457,UPC Upgraded Hands-Free Squeeze Microfiber Flat Spin Mop System 360Â° Flexible Head Mop Set,Very very good product and useful thank you so Flipkart,5
15458,UPC Upgraded Hands-Free Squeeze Microfiber Flat Spin Mop System 360Â° Flexible Head Mop Set,2 out of 3 mop pad elastic got torn away after using for 3 weeks only.,2
15459,UPC Upgraded Hands-Free Squeeze Microfiber Flat Spin Mop System 360Â° Flexible Head Mop Set,It's seriously too good and very sufficient to use.,5
15460,UPC Upgraded Hands-Free Squeeze Microfiber Flat Spin Mop System 360Â° Flexible Head Mop Set,Nice Product ðð,5
15461,UPC Upgraded Hands-Free Squeeze Microfiber Flat Spin Mop System 360Â° Flexible Head Mop Set,"Bucket quality is good, handle of the mop is not much good. Cost is high for this product.",3
15462,UPC Upgraded Hands-Free Squeeze Microfiber Flat Spin Mop System 360Â° Flexible Head Mop Set,Very nice product,5
15463,UPC Upgraded Hands-Free Squeeze Microfiber Flat Spin Mop System 360Â° Flexible Head Mop Set,"The product is worth buying,it made my work easy,quick with super fast delivery.thanku flipkart",5
15464,UPC Upgraded Hands-Free Squeeze Microfiber Flat Spin Mop System 360Â° Flexible Head Mop Set,Best flat mop currently in market!,5
15465,UPC Upgraded Hands-Free Squeeze Microfiber Flat Spin Mop System 360Â° Flexible Head Mop Set,"I'm very satisfied  Good Quality, Nice Color and Easy to use Nice Product Delivered.",5
15466,UPC Upgraded Hands-Free Squeeze Microfiber Flat Spin Mop System 360Â° Flexible Head Mop Set,Good,5
15467,UPC Upgraded Hands-Free Squeeze Microfiber Flat Spin Mop System 360Â° Flexible Head Mop Set,Nice,5
15468,UPC Upgraded Hands-Free Squeeze Microfiber Flat Spin Mop System 360Â° Flexible Head Mop Set,It is a good quality product. Cleaning is quite easy now. I would recommend this to friends and family.,5
15469,UPC Upgraded Hands-Free Squeeze Microfiber Flat Spin Mop System 360Â° Flexible Head Mop Set,Superb,5
15470,UPC Upgraded Hands-Free Squeeze Microfiber Flat Spin Mop System 360Â° Flexible Head Mop Set,Rod is poor not fit proper,1
15471,UPC Upgraded Hands-Free Squeeze Microfiber Flat Spin Mop System 360Â° Flexible Head Mop Set,It's very good,5
15472,UPC Upgraded Hands-Free Squeeze Microfiber Flat Spin Mop System 360Â° Flexible Head Mop Set,Very Nice Product,2
15473,UPC Upgraded Hands-Free Squeeze Microfiber Flat Spin Mop System 360Â° Flexible Head Mop Set,Osm product,5
15474,UPC Upgraded Hands-Free Squeeze Microfiber Flat Spin Mop System 360Â° Flexible Head Mop Set,Best for tiles floor,5
15475,UPC Upgraded Hands-Free Squeeze Microfiber Flat Spin Mop System 360Â° Flexible Head Mop Set,Soooooooper product ðð¥°ðmust buyâ¤,5
15476,UPC Upgraded Hands-Free Squeeze Microfiber Flat Spin Mop System 360Â° Flexible Head Mop Set,Good quality products,5
15477,UPC Upgraded Hands-Free Squeeze Microfiber Flat Spin Mop System 360Â° Flexible Head Mop Set,Very bad experience with this.So cheap quality product. Don't buy,1
15478,UPC Upgraded Hands-Free Squeeze Microfiber Flat Spin Mop System 360Â° Flexible Head Mop Set,Super b,5
15479,UPC Upgraded Hands-Free Squeeze Microfiber Flat Spin Mop System 360Â° Flexible Head Mop Set,Product is not,1
15480,UPC Upgraded Hands-Free Squeeze Microfiber Flat Spin Mop System 360Â° Flexible Head Mop Set,Excellent product i am very happy ð,5
15481,UPC Upgraded Hands-Free Squeeze Microfiber Flat Spin Mop System 360Â° Flexible Head Mop Set,This is good.,4
15482,UPC Upgraded Hands-Free Squeeze Microfiber Flat Spin Mop System 360Â° Flexible Head Mop Set,Good quality easy to uses,5
15483,UPC Upgraded Hands-Free Squeeze Microfiber Flat Spin Mop System 360Â° Flexible Head Mop Set,Very useful product,5
15484,UPC Upgraded Hands-Free Squeeze Microfiber Flat Spin Mop System 360Â° Flexible Head Mop Set,Nice,5
15485,UPC Upgraded Hands-Free Squeeze Microfiber Flat Spin Mop System 360Â° Flexible Head Mop Set,Good product must buy to save time,5
15486,UPC Upgraded Hands-Free Squeeze Microfiber Flat Spin Mop System 360Â° Flexible Head Mop Set,Nice product,5
15487,UPC Upgraded Hands-Free Squeeze Microfiber Flat Spin Mop System 360Â° Flexible Head Mop Set,Varey nice ðð,5
15488,UPC Upgraded Hands-Free Squeeze Microfiber Flat Spin Mop System 360Â° Flexible Head Mop Set,"Nice product, easy to use. Good in cleaning.",5
15489,UPC Upgraded Hands-Free Squeeze Microfiber Flat Spin Mop System 360Â° Flexible Head Mop Set,"Received product in good condition. Packaging is good. Using product for week and now I'm writing this review, Thr product is amazing as expected. Multifunctional and cleans floor, glass door without leaving stains behind. We loved it. Thank you...",5
15490,UPC Upgraded Hands-Free Squeeze Microfiber Flat Spin Mop System 360Â° Flexible Head Mop Set,Awesome piece ð package was good. thank you to dealer and Flipkart ðð,5
15491,UPC Upgraded Hands-Free Squeeze Microfiber Flat Spin Mop System 360Â° Flexible Head Mop Set,Better than expected,5
15492,UPC Upgraded Hands-Free Squeeze Microfiber Flat Spin Mop System 360Â° Flexible Head Mop Set,Product quality was low,2
15493,UPC Upgraded Hands-Free Squeeze Microfiber Flat Spin Mop System 360Â° Flexible Head Mop Set,Very good product ð,5
15494,UPC Upgraded Hands-Free Squeeze Microfiber Flat Spin Mop System 360Â° Flexible Head Mop Set,Mop built quantity very good,5
15495,UPC Upgraded Hands-Free Squeeze Microfiber Flat Spin Mop System 360Â° Flexible Head Mop Set,Good,4
15496,UPC Upgraded Hands-Free Squeeze Microfiber Flat Spin Mop System 360Â° Flexible Head Mop Set,Good product excellent quality Happy this Product 5 stars,5
15497,UPC Upgraded Hands-Free Squeeze Microfiber Flat Spin Mop System 360Â° Flexible Head Mop Set,Very nice productBut little bit costlyBut worthyI am happy,5
15498,UPC Upgraded Hands-Free Squeeze Microfiber Flat Spin Mop System 360Â° Flexible Head Mop Set,Quality is cheap,2
15499,UPC Upgraded Hands-Free Squeeze Microfiber Flat Spin Mop System 360Â° Flexible Head Mop Set,Poor quality no spire available pin broken in three days,1
15500,UPC Upgraded Hands-Free Squeeze Microfiber Flat Spin Mop System 360Â° Flexible Head Mop Set,Amazing product,5
