Unnamed: 0,Product,Review_Summary,Rating
31183,"Urban Terrain Denver with Complete Accessories & Mobile Tracking App 27.5 T Hybrid Cycle/City BikeÂ Â (Single Speed, Silver, Black)",The product is awesome.. best buy at this price with free home installation on next day. And the trainer Anupama did a good training session for me. It was very helpful.Overall a good experience..,5
31184,"Urban Terrain Denver with Complete Accessories & Mobile Tracking App 27.5 T Hybrid Cycle/City BikeÂ Â (Single Speed, Silver, Black)","Best cycle with in this price range and feels like cherry on top as this provided with other accessories like pump n all.Most importantly, it's providing free installation and the guy coming for installation was very good and polite.  Totally satisfied with the product and strongly recommend to others to go for this cycle.",5
31185,"Urban Terrain Denver with Complete Accessories & Mobile Tracking App 27.5 T Hybrid Cycle/City BikeÂ Â (Single Speed, Silver, Black)","Cycle is very good and worth buying , got delayed service by fit plus team but overall response from the team was satisfactory they take really good care of the customer",5
31186,"Urban Terrain Denver with Complete Accessories & Mobile Tracking App 27.5 T Hybrid Cycle/City BikeÂ Â (Single Speed, Silver, Black)","Got this cycle for a great deal. Apart from the brakes (which maybe need a little bit calibration), everything else feels pretty good. Free accessories are a cherry on topping. Great going Urban Terrain.",5
31187,"Urban Terrain Denver with Complete Accessories & Mobile Tracking App 27.5 T Hybrid Cycle/City BikeÂ Â (Single Speed, Silver, Black)",Impressed with the product as well the team. Got 3 months free access to onefitplus app where Diet plan & tracking is available to us with Dietician consultation. I had spoke to dietician Ms.Rajeeta and she has explained well about the balanced diet plan and schedule to achieve our goals. Thanks to her and team.ð,5
31188,"Urban Terrain Denver with Complete Accessories & Mobile Tracking App 27.5 T Hybrid Cycle/City BikeÂ Â (Single Speed, Silver, Black)","Awesome product from urban terrain and valued added service along with purchase of cycle is most interesting part. After purchase of cycle I got immediate service support, Free app of cult sport where I received best fitness support like cardiac exercise ,diet consultation free of cost from Pooja Madam. Full diet plan for the week from Ms. Pooja is one of wonderful support I got which will help me in reducing my weight and tummy fat.I am thankful to flipkart and urban terrain for providing ...",4
31189,"Urban Terrain Denver with Complete Accessories & Mobile Tracking App 27.5 T Hybrid Cycle/City BikeÂ Â (Single Speed, Silver, Black)",Came up in a well packed box. Installation was done within 2 days of the delivery of the product in great and well maintained way. Product is so good and easy to use for those who are looking for gear less cycles.Consultation from Cult Fit was a great experience as they enquired and provided the details in such a great way that the proper diet can be shared to us by them. Thanks for the great Consultation Ms. Flo!,5
31190,"Urban Terrain Denver with Complete Accessories & Mobile Tracking App 27.5 T Hybrid Cycle/City BikeÂ Â (Single Speed, Silver, Black)",The Bicycle is value for money any day worth every penny. Great looks and comfortable to ride. Great experience. Also the instalation done before time. Support from back office as well as the instalation guy was great. Well trained staff. Also the diet chart shared by the dietitian is helpful.,5
31191,"Urban Terrain Denver with Complete Accessories & Mobile Tracking App 27.5 T Hybrid Cycle/City BikeÂ Â (Single Speed, Silver, Black)","Shout-Out to Ms. Pooja Tumma for the amazing diet plan. I enjoyed my session with dietitian a lot and really appreciate the knowledge she has and the help she gave me to look the things in a more healthy way and for tracking the my diet through cult sport app. She also made me realize that meals don't need to be complicated and difficult, it really can be fast and easy. Thank you so much Ms pooja for the diet plan and extra efforts which you have made.",5
31192,"Urban Terrain Denver with Complete Accessories & Mobile Tracking App 27.5 T Hybrid Cycle/City BikeÂ Â (Single Speed, Silver, Black)",Pros- 1. Very light weight           2. Smooth to ride           3. Installation was done way before the committed date.Cons- 1. Tyres are a bit on the slimmer which make it look less                   aesthetically pleasing.             2. Seat is also not comfortable for long rides. Overall its worth only if you get it for 5000 or less. Else go for a bit higher model with better tyres and seat comfort.3.5 stars,3
31193,"Urban Terrain Denver with Complete Accessories & Mobile Tracking App 27.5 T Hybrid Cycle/City BikeÂ Â (Single Speed, Silver, Black)",The cycle is Good apart from the product first their delivery and installation was very fast than their commitment and along with the product the Urban terrain supports the customer through cultsport by giving free diet plan and fitness coaching Thanks team,5
31194,"Urban Terrain Denver with Complete Accessories & Mobile Tracking App 27.5 T Hybrid Cycle/City BikeÂ Â (Single Speed, Silver, Black)",Worth for every penny.. I usually don't recommend but for this without any doubt go for it.. this a review after 2-3 weeks.. the diet consultantion from from onefitplus which is conducted by dietician is up to the mark.. she is doing a marvelous job.. totally satisfied with her work...,4
31195,"Urban Terrain Denver with Complete Accessories & Mobile Tracking App 27.5 T Hybrid Cycle/City BikeÂ Â (Single Speed, Silver, Black)",Wowww good quality thank you urban terrain and flipkartðValue for moneyI'm 27 age and weight 88kgMy reason to buy the cycle because to weight lossI think it will be good productð,5
31196,"Urban Terrain Denver with Complete Accessories & Mobile Tracking App 27.5 T Hybrid Cycle/City BikeÂ Â (Single Speed, Silver, Black)","I really nice experience on fitplus app. My dietitian Meghais very concened, experienced and very helpful she made my nutrition and diet plan very well. I amfollowing whats told by the dietitian and feeling change in my fitness level and the cycle is very good looking, working very smoothly.It's worth every penny.The support team works very well.Thank you  Urban Terrain and Dietitian Megha.",5
31197,"Urban Terrain Denver with Complete Accessories & Mobile Tracking App 27.5 T Hybrid Cycle/City BikeÂ Â (Single Speed, Silver, Black)","I buy new Berlin 27.5 size cycle, very very ultimate color and low weight and courier partner service good, and also next day installation process very fast and good so always better price and worthful. Money value cycle.",5
31198,"Urban Terrain Denver with Complete Accessories & Mobile Tracking App 27.5 T Hybrid Cycle/City BikeÂ Â (Single Speed, Silver, Black)","The cycle is good in this price and the diet plan benifit is bonus for me. I had a call from cultsport her name is Anamika. She was so polite and she make me understand that how much the daily dait is important for us. She is so polite and hummble, good experience from urban terrain and Cultsport ð",5
31199,"Urban Terrain Denver with Complete Accessories & Mobile Tracking App 27.5 T Hybrid Cycle/City BikeÂ Â (Single Speed, Silver, Black)","As per the price the product is ok. The points which are not up to the mark and can be look upon to improve are â¢the seat post quick release is not working at all, it can be altered to a fixed bolt to secure the post â¢ the paint quality is below average â¢ the mudguards are not molded properly â¢ the seat clamp is not good it doesn't holds the seat to a certain position no matter how much force is applies to tighten, it tends to gets declined (moves downwards) from the back of the seat. Except ...",3
31200,"Urban Terrain Denver with Complete Accessories & Mobile Tracking App 27.5 T Hybrid Cycle/City BikeÂ Â (Single Speed, Silver, Black)",Quality product in a reasonable price. Timely delivery. Installation done within 24 hrs by the company executive. Happy with the product. Received a call from Cult fit dietician Rohini as 3 months free fitness and training consultation is also free with this bicycle . She was very polite and explained everything about how to work on fitness routine in coming days.,5
31201,"Urban Terrain Denver with Complete Accessories & Mobile Tracking App 27.5 T Hybrid Cycle/City BikeÂ Â (Single Speed, Silver, Black)","I ordered in BBD sale and the price was too low so i think it could not be genuine but after installation quality is good and Awesome experience with ubran terrian tokyo and staff are also good. I loved the service not filpkart but Ubran Terrian Tokyo. Great experience. But there is one thing that you need to fix the, cycle seat is not fit at the position you need to fix them.If your budget is average then go for this you love it..",5
31202,"Urban Terrain Denver with Complete Accessories & Mobile Tracking App 27.5 T Hybrid Cycle/City BikeÂ Â (Single Speed, Silver, Black)","It has a sleek, modern look and it's really comfortable to ride. Dietician Meena provided me with an excellent diet plan and cardio trainer Bhavna's session are simply awesome.",4
31203,"Urban Terrain Denver with Complete Accessories & Mobile Tracking App 27.5 T Hybrid Cycle/City BikeÂ Â (Single Speed, Silver, Black)","Nice product worth the money with additional benefits like access cult sport live sessions..had an amazing cardio session with Vishal, liked the personalized exercise plans..",5
31204,"Urban Terrain Denver with Complete Accessories & Mobile Tracking App 27.5 T Hybrid Cycle/City BikeÂ Â (Single Speed, Silver, Black)","product is good and installation was quick and done by the well trained staff. A very good free yoga season by one fit plus, Ms  Bhavna madam was good and helpful. great to have a urban terrain cycle.  I have received complimentary diet plan and support for 3 month from Fit Plus and my Dietician Ms. Rohini madam has provide me detail diet plan as per my requirement and its help me a lot. Thank you",5
