Unnamed: 0,Product,Review_Summary,Rating
30670,"Urban Terrain Rio with Complete Accessories & Mobile Tracking App 26 T Hybrid Cycle/City BikeÂ Â (Single Speed, Yellow, Black)","The overall experience with Urban Terrain is very impressive.The cycle came in very well packaged box.The installation guy was well enough trained to fix the cycle properly.The best thing is Installation is included in the price.The cycle is lightweight, sturdy, looks elegant.Definitely the best deal with this price.I purchased the very basic one, but looking forward with Urban Terrain to purchase na higher version.Thanks.",5
30671,"Urban Terrain Rio with Complete Accessories & Mobile Tracking App 26 T Hybrid Cycle/City BikeÂ Â (Single Speed, Yellow, Black)","Cycle delivered on time, with good packaging. All parts in good shape and easy to install. Installation date was 5 days after delivery but the installation person arrived the next day of delivery. Installation done correctly and gave general maintenance advice too. Cycle looks great and riding is smooth. Overall a great buy, initial opinion - best single speed cycle. Also got a complentary cultsport subscription with this purchase. Consultation with dietician and trainer was insightful and...",5
30672,"Urban Terrain Rio with Complete Accessories & Mobile Tracking App 26 T Hybrid Cycle/City BikeÂ Â (Single Speed, Yellow, Black)","Amazing cycle under quite impressive price. Built quality is top notch. The company offers free installation included in the price. The person from the company came, the very next day to assemble the cycle. I also got complementary cultsport membership which includes free dietitian guidance. The Dietician called me to understand my routine and lifestyle to plan my diet accordingly. The Dietician was quite humble & kind.",5
30673,"Urban Terrain Rio with Complete Accessories & Mobile Tracking App 26 T Hybrid Cycle/City BikeÂ Â (Single Speed, Yellow, Black)","Happy with the purchase.Quality of the bicycle is good,its a best option to go in this budget. Brakes weren't that great but it's ok.Diet consultation was good, had a session with Dietitian Vimelsh, she is very interactive and gave all the details that are required, really appreciated.Thank you flipkart",4
30674,"Urban Terrain Rio with Complete Accessories & Mobile Tracking App 26 T Hybrid Cycle/City BikeÂ Â (Single Speed, Yellow, Black)",Great cycle and worth the penny. I'm extremely happy with this product. The Installation and fitness programs by cultsport are amazing which absolutely free as complimentary. The Whole team and service is amazing. They allot a dietician for yourself who guides you and provides you diet plans accordingly. My dietician Ms.Arpita was super kind and humble. Thanks alot for the whole team.Happy meðâ¤.,5
30675,"Urban Terrain Rio with Complete Accessories & Mobile Tracking App 26 T Hybrid Cycle/City BikeÂ Â (Single Speed, Yellow, Black)","The cycle is gud looking and good to use. Haver a top quality workout  and meditation session with my assigned trainer Bhavana Rupani mam and i enjoyed doing the basic workouts and specially the meditation part. They also assigned me a dietitian Dr. Rohini, she enquired about my daily routine and eating habits and gave me a good diet plan.Together it was a great experience.",5
30676,"Urban Terrain Rio with Complete Accessories & Mobile Tracking App 26 T Hybrid Cycle/City BikeÂ Â (Single Speed, Yellow, Black)",A good cycle for daily use. Pricing is very competitive. Home installation is done on the 4th day after delivery free of cost. Standard accessories are also part of the bicycle pricing. The seat can be adjusted depending on who is riding it.All in all a very good buy. I like what I got in reference of the doubts I have before placing the order online. Urban Terrain / Fit Plus as a whole is worth the trust.,5
30677,"Urban Terrain Rio with Complete Accessories & Mobile Tracking App 26 T Hybrid Cycle/City BikeÂ Â (Single Speed, Yellow, Black)",It's a decent product with good quality along with free installation service and complete accessories. Value for money but it's not for heavyweight person it can support up to 85-90kg. If you are higher than 90kg go for some other model/brand and also check recommended weight.,4
30678,"Urban Terrain Rio with Complete Accessories & Mobile Tracking App 26 T Hybrid Cycle/City BikeÂ Â (Single Speed, Yellow, Black)","I had a great experience with one fit plus app, they have provided sessions with a dietician and a fitness expert, I had a great session with Manpreet, she is very interactive and not rushing through out the session she is patient, and very clear while explaining the exercises, overall I loved the experience with the app and the session.",5
30679,"Urban Terrain Rio with Complete Accessories & Mobile Tracking App 26 T Hybrid Cycle/City BikeÂ Â (Single Speed, Yellow, Black)",Terrific purchase at lowest rate during big billion days. Thanks Flipkart for your amazing services. Only there was no free assembling a available in our city. All things were there in box as mentioned.,5
30680,"Urban Terrain Rio with Complete Accessories & Mobile Tracking App 26 T Hybrid Cycle/City BikeÂ Â (Single Speed, Yellow, Black)","Looks wise its awesome ðI got it at the price of 3999 nd I think its the best option. The dietician named Pooja is very reassuring nd appreciating ð, really loved her service.",5
