Unnamed: 0,Product,Review_Summary,Rating
107732,"Viscose Blend Solid, Self Design Beige Men Dupatta",A attractive attrire to carry with any set of kurta and paijama  a wow product Thank u! NFC Happy to endorse if possible,5
107733,"Viscose Blend Solid, Self Design Beige Men Dupatta",Amazing dupatta,5
107734,"Viscose Blend Solid, Self Design Beige Men Dupatta","Beige and dark shade. Great quality, length and look to pair up for a silk kurta. Pricy but worth it I think!",5
107735,"Viscose Blend Solid, Self Design Beige Men Dupatta",Quality is superb..... Thanks to seller (Devipuja crration) for free mask... Thank you so much,5
107736,"Viscose Blend Solid, Self Design Beige Men Dupatta",nice,5
107737,"Viscose Blend Solid, Self Design Beige Men Dupatta",So beautiful â¤ï¸,5
107738,"Viscose Blend Solid, Self Design Beige Men Dupatta","Colour is dark , otherwise no problem, good quality product",5
107739,"Viscose Blend Solid, Self Design Beige Men Dupatta",More than expected. Very good quality.,5
107740,"Viscose Blend Solid, Self Design Beige Men Dupatta",Good,5
107741,"Viscose Blend Solid, Self Design Beige Men Dupatta",Good product. Material is bit hard if it was bit soft that will very good.,4
