Unnamed: 0,Product,Review_Summary,Rating
107910,"Viscose Blend Solid, Self Design Black Men Dupatta",A attractive attrire to carry with any set of kurta and paijama  a wow product Thank u! NFC Happy to endorse if possible,5
107911,"Viscose Blend Solid, Self Design Black Men Dupatta",Amazing dupatta,5
107912,"Viscose Blend Solid, Self Design Black Men Dupatta","Beige and dark shade. Great quality, length and look to pair up for a silk kurta. Pricy but worth it I think!",5
107913,"Viscose Blend Solid, Self Design Black Men Dupatta",Quality is superb..... Thanks to seller (Devipuja crration) for free mask... Thank you so much,5
107914,"Viscose Blend Solid, Self Design Black Men Dupatta",nice,5
107915,"Viscose Blend Solid, Self Design Black Men Dupatta",So beautiful â¤ï¸,5
107916,"Viscose Blend Solid, Self Design Black Men Dupatta","Colour is dark , otherwise no problem, good quality product",5
107917,"Viscose Blend Solid, Self Design Black Men Dupatta",More than expected. Very good quality.,5
107918,"Viscose Blend Solid, Self Design Black Men Dupatta",Good,5
107919,"Viscose Blend Solid, Self Design Black Men Dupatta",Good product. Material is bit hard if it was bit soft that will very good.,4
