Unnamed: 0,Product,Review_Summary,Rating
160309,"boAt Aavante Bar 2000 160 W Bluetooth SoundbarÂ Â (Premium Black, 2.1 Channel)","THE ONE THING THAT I HAVE NOTICED ON FLIPKART IS, ALL THE REVIEWS FOR BOAT AAVANTE SPEAKERS ARE ON THE SAME PAGE IRRESPECTIVE OF THE MODEL THE USER HAS BOUGHT. IT CONFUSES USERS TO UNDERSTAND WHICH REVIEW BELONGS TO WHICH MODEL.hence, here i am mentioning which model I have bought, it will help others accordingly.Model : Avante bar 1550 120wPROS:- Good bass. Bass is sufficient to satisfy your ears.  If u go for other model ie. 2000, it has more bass frequency than this one but it could ...",4
160310,"boAt Aavante Bar 2000 160 W Bluetooth SoundbarÂ Â (Premium Black, 2.1 Channel)","Grab some snacks it is going to be a lengthy review with a few tricks and tips.Initially when i opened the box i couldn't wait to test it so I connected it to my phone via bluetooth and played a song. OMG! The bass was hitting so hard if you set the volume to 25 and bass at level 4 you can feel the vibrations in the ground. Then I played a classical song in the system via bluetooth the sound seemed muffled to me, the dialogues weren't clear while watching movies, the bass would everytime ove...",4
160311,"boAt Aavante Bar 2000 160 W Bluetooth SoundbarÂ Â (Premium Black, 2.1 Channel)","Hii, got this product as shown.Nice sound quality, with balanced mid and lows along with balanced set equaliser.160 watt model is wireless, thats really good. Range of conection is good between bar and subwoofer.",5
160312,"boAt Aavante Bar 2000 160 W Bluetooth SoundbarÂ Â (Premium Black, 2.1 Channel)",Awesome sound. Bass is terrific even at maximum volume sound doesn't crack. Remote has all features. Overall i am super satisfied with the product keeping in mind it's price.,5
160313,"boAt Aavante Bar 2000 160 W Bluetooth SoundbarÂ Â (Premium Black, 2.1 Channel)","Best Sound!Bass is best.(I have boAt rocrz 400 headphone which is best and love it!)Audio clarity may have been a little bit better but good.I have Mi TV 4a pro 32 inch TV and connected the sound bar with HDMI Arc and working best.Many of you reviewed HDMI Arc not working. I also faced that problem. Here is the solution.1. Connect HDMI through Arc port on your TV.2. Remove the Aux Cable, if you connected.3. Go to tv settings, input, select HDMI 1 as input source and on all the othe...",4
160314,"boAt Aavante Bar 2000 160 W Bluetooth SoundbarÂ Â (Premium Black, 2.1 Channel)","Awesome Product. Loved the sound quality and design. Convert your hall into home theatre. Bass Bass Bass. Very reasonable price. Iâm sure you will enjoy every paise of your hard earned money. Thank you flipkart, seller, and manufacturer for this lovely product. Only bad experience I had was with Jeevis technician who did not know how to drill properly but thatâs fine. Overall good quality product!!! Again Bass Bass Bass!!!",5
160315,"boAt Aavante Bar 2000 160 W Bluetooth SoundbarÂ Â (Premium Black, 2.1 Channel)","awesome experience, its really superb one, in fact the best in the market, fully satisfied with boAt Avante Sound Bar",5
160316,"boAt Aavante Bar 2000 160 W Bluetooth SoundbarÂ Â (Premium Black, 2.1 Channel)",Excellent product from boat. Was in search of right soundbar for almost 15 days. Finally bought boat 2000 160 watts for good reviews in the market which didn't disappoint me. Those who are looking for a good music can blindly go for it.  Dth also works fine . Movies sound clarity is awesome like theatre effect. Can challenge 5.1 theatre effect. Am already  user of JBL home theater but its equally competitive with that. Timely delivered from flipkart and ontime installation and demo from the e...,5
160317,"boAt Aavante Bar 2000 160 W Bluetooth SoundbarÂ Â (Premium Black, 2.1 Channel)",Dilivered before the promise date and installation done on next day just perfect The designs is excellent  Bass is too good The sound quality is superior  its just amazing just felt in  love Go for it without hesitation,5
160318,"boAt Aavante Bar 2000 160 W Bluetooth SoundbarÂ Â (Premium Black, 2.1 Channel)",Awesome product no complaints at all amazing quality if any one is comparing between the creative stage and this then its a clear win fro.the boAt ðð¤,5
160319,"boAt Aavante Bar 2000 160 W Bluetooth SoundbarÂ Â (Premium Black, 2.1 Channel)","best product not just in price but also otherwise, pros..... almost every type of connectivity options are available for different devices.  for my Mi TV 4pro 55 in HDMI connection is best, Bluetooth connectivity respond near to accurate with TV.Base is very good more than expected in this price.sound from the bar completely changed the the viewing experience, suddenly watching TV come to live.  Other than pre-set, you can adjust base and treble to get sound of your choice.cons..... I am...",5
160320,"boAt Aavante Bar 2000 160 W Bluetooth SoundbarÂ Â (Premium Black, 2.1 Channel)","boAt AAVANTEE BAR1550.120w sound bar from flipkart delivered yesterday and install today by Jeeves... sound is good bass is high,who loves more bass go for it.you may reduce the bass level. design and look is pretty good. at this price range this satisfy you,but if you compare with high value sony bar so you may be disappointed. sound and volume is high. If you want a mid range sound bar with good quality go for it.  The installation boy is really good in behaviour.it may depends on location....",4
