Unnamed: 0,Product,Review_Summary,Rating
16924,liger Dust Cleaning Mop Brush Wet Duster,Good,4
16925,liger Dust Cleaning Mop Brush Wet Duster,"Excellent, But just improve. Tq Flipkart.",4
16926,liger Dust Cleaning Mop Brush Wet Duster,Image is misleading very bad quality,1
16927,liger Dust Cleaning Mop Brush Wet Duster,Not up to the mark,3
16928,liger Dust Cleaning Mop Brush Wet Duster,Soft touch. Value for money. Not for heavy duty.,4
16929,liger Dust Cleaning Mop Brush Wet Duster,Good,4
16930,liger Dust Cleaning Mop Brush Wet Duster,Handle and the brush separated immediately,1
16931,liger Dust Cleaning Mop Brush Wet Duster,Very good,5
16932,liger Dust Cleaning Mop Brush Wet Duster,Worst,1
16933,liger Dust Cleaning Mop Brush Wet Duster,Nice product,5
16934,liger Dust Cleaning Mop Brush Wet Duster,Do not clean properly. Also not microfibre..,1
16935,liger Dust Cleaning Mop Brush Wet Duster,It is not good .,2
16936,liger Dust Cleaning Mop Brush Wet Duster,Superb product...Very nice must buy...,5
16937,liger Dust Cleaning Mop Brush Wet Duster,Not good,3
16938,liger Dust Cleaning Mop Brush Wet Duster,Cant clear dust efficiantly what they say,1
16939,liger Dust Cleaning Mop Brush Wet Duster,Good,4
16940,liger Dust Cleaning Mop Brush Wet Duster,Average product,3
16941,liger Dust Cleaning Mop Brush Wet Duster,"Very cheap, breaks on next day only",1
16942,liger Dust Cleaning Mop Brush Wet Duster,Good,3
16943,liger Dust Cleaning Mop Brush Wet Duster,Excellent product,4
16944,liger Dust Cleaning Mop Brush Wet Duster,Gud,5
16945,liger Dust Cleaning Mop Brush Wet Duster,Good,5
16946,liger Dust Cleaning Mop Brush Wet Duster,"Poor quality plastic used, got cracked after 2 weeks,  fine dust is not removed, get dirty very fast, cleaning mop is difficult",1
16947,liger Dust Cleaning Mop Brush Wet Duster,After some use handel and plastic parts are break,1
16948,liger Dust Cleaning Mop Brush Wet Duster,Wast of maney,1
16949,liger Dust Cleaning Mop Brush Wet Duster,Nice,5
16950,liger Dust Cleaning Mop Brush Wet Duster,Very useful item,5
16951,liger Dust Cleaning Mop Brush Wet Duster,No t good,1
16952,liger Dust Cleaning Mop Brush Wet Duster,Super,5
16953,liger Dust Cleaning Mop Brush Wet Duster,Nice,3
16954,liger Dust Cleaning Mop Brush Wet Duster,Good product. Worth for money and very useful product.,4
16955,liger Dust Cleaning Mop Brush Wet Duster,Good,4
16956,liger Dust Cleaning Mop Brush Wet Duster,Good,5
16957,liger Dust Cleaning Mop Brush Wet Duster,Good,4
16958,liger Dust Cleaning Mop Brush Wet Duster,not sturdy handle slips when mopping,2
16959,liger Dust Cleaning Mop Brush Wet Duster,Excellent productâ¤,5
16960,liger Dust Cleaning Mop Brush Wet Duster,Donât buy.,2
16961,liger Dust Cleaning Mop Brush Wet Duster,Good,5
16962,liger Dust Cleaning Mop Brush Wet Duster,Good product.  Item Quality  rating 5/4.,5
16963,liger Dust Cleaning Mop Brush Wet Duster,Nice,5
16964,liger Dust Cleaning Mop Brush Wet Duster,Nice product,5
16965,liger Dust Cleaning Mop Brush Wet Duster,That was perfectly fine to use,4
16966,liger Dust Cleaning Mop Brush Wet Duster,Nic car dust cleaning mop brush,4
16967,liger Dust Cleaning Mop Brush Wet Duster,Perfect choice for dust cleaning instantly,5
16968,liger Dust Cleaning Mop Brush Wet Duster,Goodone,4
16969,liger Dust Cleaning Mop Brush Wet Duster,Nice products.,5
16970,liger Dust Cleaning Mop Brush Wet Duster,Nice product,3
16971,liger Dust Cleaning Mop Brush Wet Duster,Nice product ð,5
16972,liger Dust Cleaning Mop Brush Wet Duster,Good. Must buy. Very useful.,5
