Unnamed: 0,Product,Review_Summary,Rating
135275,"limraz furniture Engineered Wood Computer DeskÂ Â (Straight, Finish Color - brown, Pre-assembled)","Just perfect. Perfect height, compact, portable and good finishing. Just a saviour in the times of lockdown and work from home.",4
135276,"limraz furniture Engineered Wood Computer DeskÂ Â (Straight, Finish Color - brown, Pre-assembled)","A pretty good table for this rate, very suitable for studying or work from homeThe only downside about it is the lack of leg space You can't keep your legs in between the stand, that's the only uncomfortableness that I feltRest are pretty good for the price it offers!",4
135277,"limraz furniture Engineered Wood Computer DeskÂ Â (Straight, Finish Color - brown, Pre-assembled)",It's very useful for work from home and mini dining too ...It's better than Table Mate...Please go with this ...In under section if we provide clip it's very excellent ...,5
135278,"limraz furniture Engineered Wood Computer DeskÂ Â (Straight, Finish Color - brown, Pre-assembled)",Product is ok but is quite sensitive and finishing is some where not good except this everything is perfect at good price,4
135279,"limraz furniture Engineered Wood Computer DeskÂ Â (Straight, Finish Color - brown, Pre-assembled)",Right one to use during WFH. More comfortable to use as like office work station,5
135280,"limraz furniture Engineered Wood Computer DeskÂ Â (Straight, Finish Color - brown, Pre-assembled)",Very good product. Best for work from home. Flipkart delivery is very slow. So I am cutting 1 star for Flipkart.,4
135281,"limraz furniture Engineered Wood Computer DeskÂ Â (Straight, Finish Color - brown, Pre-assembled)","Perfect finish and reasonable price product... I love using it. Size is also good, I can set up my full system.",5
135282,"limraz furniture Engineered Wood Computer DeskÂ Â (Straight, Finish Color - brown, Pre-assembled)","I have a large desktop, but it fits perfectly on this table. It was worth buying. Those who are planning to buy this product don't think too much u can just go for it. Trust me when I say this, yo gonna love this product.",5
135283,"limraz furniture Engineered Wood Computer DeskÂ Â (Straight, Finish Color - brown, Pre-assembled)",Good finishing and more comfortable furniture i like this so... Blindly we can go for it.  Very useful for desktop and laptop users,5
135284,"limraz furniture Engineered Wood Computer DeskÂ Â (Straight, Finish Color - brown, Pre-assembled)","It is perfect if you want to work on the computer, write something, or eat. The size is super perfect. Well calculated and well researched. The table occupies very less space and can be shifted anywhere. The packing was good. I love it. I am 6.1 ft, the amount of the leg space is great. The height of the desk is also perfect. I am using a laptop, with an external full-size keyboard and the mouse, and after all this, there is still a good amount of space left on the right and left, plus 10 to ...",5
135285,"limraz furniture Engineered Wood Computer DeskÂ Â (Straight, Finish Color - brown, Pre-assembled)","I just love it. Looks good and not like a kaam chalau table. It is more spacious than shown in the images. It accommodates plenty books, laptop, stationery, etc. Stable. Just too good for the price. Also comfortable. The legs could have been a little more apart. But still it's fine.",5
