Unnamed: 0,Product,Review_Summary,Rating
145591,"migwow Stunt Car 360?ørotating rolling radio control electric race car, (Blue)?ÿ?ÿ(Blue)",Good,4
145592,"migwow Stunt Car 360?ørotating rolling radio control electric race car, (Blue)?ÿ?ÿ(Blue)",Super,3
145593,"migwow Stunt Car 360?ørotating rolling radio control electric race car, (Blue)?ÿ?ÿ(Blue)",Bad product,1
145594,"migwow Stunt Car 360?ørotating rolling radio control electric race car, (Blue)?ÿ?ÿ(Blue)",Product plastic quality should be better,1
145595,"migwow Stunt Car 360?ørotating rolling radio control electric race car, (Blue)?ÿ?ÿ(Blue)",Good to play with the car,5
145596,"migwow Stunt Car 360?ørotating rolling radio control electric race car, (Blue)?ÿ?ÿ(Blue)","It's motor working but the wheels not rotating very poor quality , never recommend this product",1
145597,"migwow Stunt Car 360?ørotating rolling radio control electric race car, (Blue)?ÿ?ÿ(Blue)",Good product,5
145598,"migwow Stunt Car 360?ørotating rolling radio control electric race car, (Blue)?ÿ?ÿ(Blue)",Good,5
145599,"migwow Stunt Car 360?ørotating rolling radio control electric race car, (Blue)?ÿ?ÿ(Blue)",Worst..waste of money,1
145600,"migwow Stunt Car 360?ørotating rolling radio control electric race car, (Blue)?ÿ?ÿ(Blue)",Nice my baby is very happy,4
